Landing - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_date_time,monitor,vessel,fishing_effort,days_per_trip,location,area,area_2,area_3,gear_method,gear_count,net_pieces_per_unit,total_length,net_height,mesh_size,soak_time,water_depth,bait_fish_species_1,bait_fish_species_2,bait_fish_species_3,bait_fish_weight,personal_use_weight,ice_weight,weight,pieces,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id
8/29/2019 13:00,Arbi Monitor,MGM - O,1,1,MGM,207,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,4.6,14,,8/30/2019 11:52,Arbi Monitor,8/30/2019 11:52,Arbi Monitor,9/11/2019 17:23,FALSE,,,,6e7645ee-6f01-4c51-b272-f2070853fbed
8/27/2019 13:00,Arbi Monitor,Unknown / Not listed,1,1,MGM,207,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,1,,nama kapal : Y,8/30/2019 11:36,Arbi Monitor,8/30/2019 11:37,Arbi Monitor,9/11/2019 17:23,FALSE,,,,75e2cb4a-bec1-4044-9340-a251b886eeb1
8/26/2019 13:00,Yadi Monitor,Unknown / Not listed,1,1,MGM,184,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,1.6,,"nama kapal Y
pemilik Ato",8/30/2019 12:12,Yadi Monitor,8/30/2019 12:13,Yadi Monitor,9/11/2019 17:23,FALSE,,,,8a7a09e9-2f5a-48d7-96bd-667cbaabf8cc
8/24/2019 13:00,Victor Monitor,Unknown / Not listed,1,1,Margasari,159,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,4.2,,Nama kapal: Andika,8/30/2019 3:02,Victor Monitor,8/30/2019 3:04,Victor Monitor,9/11/2019 17:23,FALSE,,,,f2b790be-f4ef-48b4-9ecb-9949031f8597
8/23/2019 13:00,Yadi Monitor,MGM - U,1,1,MGM,184,,,Gill Net,1kambangan,13,2600,1,3.5,12,7,,,,,,,1.5,3,,8/30/2019 12:05,Yadi Monitor,8/30/2019 12:06,Yadi Monitor,9/11/2019 17:23,FALSE,,,,d30dcb9e-85e0-4734-b0f5-0ee1d0cc9690
8/23/2019 13:00,Arbi Monitor,MGM - D1,1,1,MGM,183,,,Gill Net,1,1,15,3000,"3,5",12,7,,,,,,,1.3,,,8/30/2019 11:30,Arbi Monitor,8/30/2019 11:32,Arbi Monitor,9/11/2019 17:23,FALSE,,,,193a4dc0-2578-47b7-92c3-0d82789533cd
8/22/2019 13:00,Yadi Monitor,MGM - U,1,1,MGM,207,,,Gill Net,1kambangan,13,2600,1,3.5,12,7,,,,,,,2,,,8/30/2019 12:00,Yadi Monitor,8/30/2019 12:01,Yadi Monitor,9/11/2019 17:23,FALSE,,,,d626c790-7025-41a6-b4f5-acb1e3ce3e33
8/22/2019 13:00,Yadi Monitor,MGM - D1,1,1,MGM,208,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,0.6,,,8/30/2019 11:58,Yadi Monitor,8/30/2019 11:59,Yadi Monitor,9/11/2019 17:23,FALSE,,,,93ef570d-ec64-416d-8d43-a19e50471eac
8/22/2019 13:00,Yadi Monitor,Unknown / Not listed,1,1,MGM,207,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,1.6,7,"nama kapal Y
nama pemilik Ato",8/30/2019 11:56,Yadi Monitor,8/30/2019 11:58,Yadi Monitor,9/11/2019 17:23,FALSE,,,,2f8ed0a9-eae4-4971-9f43-79249f002e82
8/21/2019 13:00,Victor Monitor,Unknown / Not listed,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,1.5,,Nama kapal: andika,9/2/2019 14:19,Victor Monitor,9/8/2019 10:40,Victor Monitor,9/11/2019 17:23,FALSE,,,,e5db49fd-ff11-4255-b910-97d4954116ca
