Biology Sample - Details,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
sample_date_time,monitor,vessel,location,first_receiver,species,scientific_name,code,berried_type,carapace_width,gonad_maturity_type,sex_type,weight,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id,measurement_id
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"14,7",Not applicable,Male,267,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,170f27a2-18ad-4e69-8acc-6172689f2e44
9/12/2019 13:00,Yadi Monitor,MGM - C,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,11.8,Not applicable,Male,95,,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:27,FALSE,,,,534026d1-6493-4c96-840d-947c3e5151c0,7e9e5b96-cce7-4663-beb9-0ef3f768bc3f
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,5",Not applicable,Male,96,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,6bebbfab-0ab0-45d8-821d-a6e06d76f106
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,4",Not applicable,Male,86,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,e234e1aa-98cb-42e1-b784-079863666351
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"13,2",Not applicable,Male,150,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,2c3b8920-216e-485d-8a19-220bde06ebe8
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,12,Not applicable,Male,114,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,560fb753-b4d5-46cd-8b20-90fc2b164f6e
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Yes,"12,4",Unknown,Female,165,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,7a5d2ecd-a708-4fcf-a489-9ca4ad69dc4d
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"10,5",Not applicable,Male,66,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,38ae8aef-efd5-415b-a0aa-a377381faa31
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,2",Not applicable,Male,92,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,1306ea74-6135-46cd-9cb8-7eac39b5d5e9
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,12,Not applicable,Male,114,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,e50f594f-f441-462a-a80a-5d42c15f6be6
